year,nycha_development,borough,total_number_of_resident_job_placements,average_wage_of_such_residents,total_number_of_resident_connections_to_services,total_number_of_residents_that_applied_for_the_nycha_resident_training_academy,total_number_of_residents_that_were_accepted_and_enrolled,total_number_residents_placed_into_full-time_or_part-time_jobs,number_of_residents_that_enrolled_in_financial_counseling_services/workshops_through_the_rees_zone_partner_program,total_number_of_residents_enrolled_in_vocational_training_programs_through_the_program,total_number_of_residents_enrolled_in_prep_courses_for_english_as_a_second_language_(esol)_or_the_test_assessing_secondary_completion_(tasc)_through_the_program,service_connections
2024.0,1010 EAST 178TH STREET,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,WYCKOFF GARDENS,Unknown,0.0,25.0,23.0,0.0,0.0,0.0,6.0,0.0,0.0,23.0
2024.0,WSUR (SITE C) 589 AMSTERDAM AVENUE,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,WSUR (SITE B) 74 WEST 92ND STREET,Unknown,0.0,20.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,WSUR (SITE A) 120 WEST 94TH STREET,Unknown,0.0,17.11,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2024.0,WSUR (BROWNSTONES),Unknown,0.0,17.31,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2024.0,WOODSON,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,WOODSIDE,Unknown,10.0,30.65,29.0,10.0,0.0,0.0,0.0,0.0,0.0,29.0
2024.0,WISE TOWERS,Unknown,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
2024.0,WILSON,Unknown,0.0,20.42,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
2024.0,WILLIAMSBURG,Unknown,0.0,38.25,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2024.0,WILLIAMS PLAZA,Unknown,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0
2024.0,WHITMAN,Unknown,12.0,21.9,70.0,28.0,6.0,5.0,0.0,11.0,0.0,70.0
2024.0,WHITE,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,WEST FARMS SQUARE CONVENTIONAL,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,WEST FARMS ROAD REHAB,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,WEST BRIGHTON II,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,WEST BRIGHTON I,Unknown,8.0,30.85,70.0,0.0,0.0,0.0,0.0,25.0,0.0,70.0
2024.0,WEEKSVILLE GARDENS,Unknown,0.0,17.31,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2024.0,WEBSTER,Unknown,0.0,22.34,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
