"DATA AS OF","DEVELOPMENT","HUD AMP#","TDS#","CONSOLIDATED TDS#","DEVELOPMENT EDP#","OPERATING EDP#","HUD #","PROGRAM","METHOD","TYPE","NUMBER OF SECTION 8 TRANSITION APARTMENTS","NUMBER OF CURRENT APARTMENTS","TOTAL NUMBER OF APARTMENTS","NUMBER OF RENTAL ROOMS","AVG NO R/R PER APARTMENT","POPULATION SECTION 8 TRANSITION","POPULATION PUBLIC HOUSING","TOTAL POPULATION","TOTAL # OF FIXED INCOME HOUSEHOLD","PERCENT FIXED INCOME HOUSEHOLDS","NUMBER OF RESIDENTIAL BLDGS","NUMBER OF NON-RESIDENTIAL BLDGS","NUMBER OF STAIRHALLS","NUMBER OF STORIES","TOTAL AREA SQ FT","ACRES","NET DEV AREA SQ FT","EXCLUDING PARK ACRES","BLDG COVERAGE SQ FT","CUBAGE CU FT","BLDG COVERAGE %","DENSITY","DEVELOPMENT COST","PER RENTAL ROOM","AVG MONTHLY GROSS RENT","LOCATION STREET A","LOCATION STREET B","LOCATION STREET C","LOCATION STREET D","BOROUGH","COMMUNITY DISTIRCT","US CONGRESSIONAL DISTRICT","NY STATE SENATE DISTRICT","NY STATE ASSEMBLY DISTRICT","NY CITY COUNCIL DISTRICT","COMPLETION DATE","FEDERALIZED DEVELOPMENT","SENIOR DEVELOPMENT","ELECTRICITY PAID BY RESIDENTS","PRIVATE MANAGEMENT","RAD TRANSFERRED DATE"
"1/1/2025","1010 EAST 178TH STREET","NY005011330","180","180","289","289","NY005090","FEDERAL","CONVENTIONAL","NEW CONST","0","218","220","918.0","4.21","0","391","391","98","0.49","1","0","1","21","86,504.7","1.99","88,172","2.02","14,961","1,841,787","16.97%","197","$5,031,405","$5,341","$513","E TREMONT AVE","BRYANT AVE","E 178TH ST","BOSTON RD","BRONX","6","15","32","87","15","1971-03-31T00:00:00.000",,,,,"06/24/2025"
"1/1/2025","104-14 TAPSCOTT STREET","NY005011670","242","167","361","283","NY005174","FEDERAL","TURNKEY","NEW CONST",,"28","30","122.0","4.36","0","55","55","6","0.0022","1","0","1","4","10,171.7","0.23","10,000","0.23","6,983","351,238","69.83%","236","$839,110","$6,505","$604","TAPSCOTT ST","UNION ST","SUTTER AVE","BLAKE AVE","BROOKLYN","16","09","25","55","41","1972-10-31T00:00:00.000",,,,,"11/28/2023"
"1/1/2025","1162-1176 WASHINGTON AVENUE","NY005013080","233","308","354","344","NY005138","FEDERAL","TURNKEY","REHAB","0","64","66","290.0","4.53","0","128","128","18","0.3462","1","0","1","6","19,088.3","0.44","18,987","0.44","12,231","851,926","64.42%","292","$2,205,187","$7,302","$619","E 167TH ST","E 168TH ST","THIRD AVE","WASHINGTON AVE","BRONX","3","15","32","79","16","1975-12-31T00:00:00.000",,,,,
"1/1/2025","131 SAINT NICHOLAS AVENUE","NY005010970","154","097","264","261","NY005065","FEDERAL","CONVENTIONAL","NEW CONST","0","98","100","386.0","3.94","0","144","144","44","0.55","1","0","1","17","30,232.0","0.69","29,359","0.67","5,759","771,591","19.62%","207","$1,880,013","$4,694","$630","SAINT NICHOLAS AVE","W 116TH ST","W 117TH ST",,"MANHATTAN","10","13","30","70","09","1965-03-31T00:00:00.000",,,,,
"1/1/2025","1471 WATSON AVENUE","NY005010670","214","067","332","222","NY005162","FEDERAL","TURNKEY","NEW CONST","0","95","96","381.5","4.02","0","120","120","41","0.5395","1","0","1","6","42,154.4","0.97","39,937","0.92","13,337","810,629","33.40%","124","$2,278,928","$5,814","$549","WATSON AVE","COLGATE AVE","EVERGREEN AVE",,"BRONX","9","14","32","85","17","1970-12-31T00:00:00.000",,,,,
"1/1/2025","154 WEST 84TH STREET","NY005013590","359","359","840","840","NY005270","FEDERAL","TURNKEY","NEW CONST","0","35","35","157.5","4.50","0","61","61","15","0.4286","1","0","1","7","10,071.0","0.23","9,621","0.22","5,774","361,857","60.01%","264","$4,503,296","$28,412","$726","AMSTERDAM AVE","W 84TH ST","COLUMBUS AVE",,"MANHATTAN","7","12","47","69","06","1996-03-31T00:00:00.000",,,"YES","YES",
"1/1/2025","303 VERNON AVENUE","NY005010730","156","073","267","267","NY005068","FEDERAL","CONVENTIONAL","NEW CONST","0","234","234","1,101.0","4.71","0","478","478","93","0.4306","1","0","1","24","113,014.0","2.59","110,000","2.53","11,311","2,207,369","10.28%","184","$4,703,702","$4,272","$632","VERNON AVE","MARCUS GARVEY BLVD","MYRTLE AVE",,"BROOKLYN","3","08","25","56","36","1967-05-31T00:00:00.000",,,,,
"1/1/2025","335 EAST 111TH STREET","NY005010640","203","064","320","219","NY005126","FEDERAL","TURNKEY","NEW CONST",,"66","66","259.0","3.92","0","108","108","36","0.0056","1","0","1","6","21,038.6","0.48","20,205","0.46","9,143","530,550","45.25%","224","$1,241,825","$4,651","$427","SECOND AVE","E 111TH ST","FIRST AVE","E 112TH ST","MANHATTAN","11","13","29","68","08","1969-06-30T00:00:00.000",,,,,"11/30/2020"
"1/1/2025","344 EAST 28TH STREET","NY005021850","185","153","452","452","NY005374","MIXED FINANCE/LLC2","CONVENTIONAL","NEW CONST","88","225","225","985.5","4.38","175","252","427","115","0.0053","1","0","1","26","50,224.3","1.15","44,644","1.02","7,889","1,946,457","17.67%","370","$4,980,000","$5,053","$555","E 27TH ST","NEW ST","E 28TH ST","FIRST AVE","MANHATTAN","6","12","59","74","02","1971-03-31T00:00:00.000",,,,,"11/30/2020"
"1/1/2025","45 ALLEN STREET","NY005011000","265","100","380","312","NY005186","FEDERAL","TURNKEY","NEW CONST","0","106","107","530.0","5.00","0","207","207","45","0.4455","1","1","1","14","40,886.6","0.94","39,609","0.91","8,031","950,162","20.28%","221","$4,290,021","$7,981","$846","GRAND ST","ALLEN ST","HESTER ST","ELDRIDGE ST","MANHATTAN","3","10","27","65","01","1974-07-31T00:00:00.000",,,,,
