"the_geom","DEVELOPMENT","TDS_NUM","BOROUGH"
"MULTIPOLYGON (((-73.90694084963181 40.83008825882968, -73.90704691939641 40.8298987874177, -73.90715140430049 40.829712148485484, -73.90757741898089 40.82985030248716, -73.90736686628335 40.83022641360038, -73.90694084963181 40.83008825882968)))","1162-1176 WASHINGTON AVENUE","233","BRONX"
"MULTIPOLYGON (((-73.88105582127501 40.826398171323525, -73.88098595474739 40.82609524077134, -73.88061036262876 40.82614635280456, -73.8805437720183 40.82585762528584, -73.88127858098242 40.825757628507866, -73.88147038405678 40.82658208596551, -73.88110956529096 40.82663118959099, -73.88105582127501 40.826398171323525)))","1471 WATSON AVENUE","214","BRONX"
"MULTIPOLYGON (((-73.97509741582043 40.78591456526231, -73.97528123209972 40.78566313537106, -73.97533721177476 40.78568669817263, -73.97549800815717 40.785754379022464, -73.97555456486629 40.78577818227464, -73.97558481611685 40.7857909181724, -73.97540099944632 40.786042348542665, -73.97509741582043 40.78591456526231)))","154 WEST 84TH STREET","359","MANHATTAN"
"MULTIPOLYGON (((-73.938544225125 40.69623075074813, -73.93848600261103 40.695945736172646, -73.94045245950743 40.695720666966054, -73.94056022663196 40.6962785732151, -73.93859962954834 40.6965019724281, -73.938544225125 40.69623075074813)))","303 VERNON AVENUE","156","BROOKLYN"
"MULTIPOLYGON (((-73.99211885905042 40.71700623659868, -73.99181531791223 40.71691429675225, -73.99210882130858 40.716339187538416, -73.9927186183653 40.716524450953315, -73.99242514551516 40.717099006995134, -73.99211885905042 40.71700623659868)))","45 ALLEN STREET","265","MANHATTAN"
"MULTIPOLYGON (((-73.96935887421552 40.79706155687141, -73.96930861753741 40.797130367787304, -73.96926388371878 40.797191615956606, -73.96906640782352 40.797107849983334, -73.9690216394371 40.79716909084569, -73.96877736681192 40.79706547288296, -73.96854982343825 40.79737674525878, -73.96823683191298 40.797243975320875, -73.9686045571182 40.79674158375235, -73.96935887421552 40.79706155687141)))","830 AMSTERDAM AVENUE","150","MANHATTAN"
"MULTIPOLYGON (((-73.90460686092233 40.81727359161081, -73.9043976386707 40.817230516837284, -73.90437400221988 40.81729675041733, -73.90428682529355 40.81727880231434, -73.9041996507838 40.817260855047714, -73.90417637473281 40.81732607402612, -73.90387776823522 40.81726459527062, -73.90453282032256 40.815429016442884, -73.90514801970245 40.81555420436034, -73.90504439404454 40.81586966866786, -73.90486697173326 40.81774558147592, -73.90446775490125 40.81766339081093, -73.90460686092233 40.81727359161081)), ((-73.90515227644728 40.81779189675774, -73.90525187568603 40.81669471471773, -73.90572128601215 40.81679579130025, -73.90586549550294 40.81642743644785, -73.9058059991387 40.816276469011136, -73.90593848176204 40.816248106142126, -73.90596044579041 40.81624508668061, -73.90596716483417 40.816241966534264, -73.9061622266657 40.81620020730095, -73.9059723233386 40.81571838015016, -73.90792697807991 40.816122569086545, -73.90787376870007 40.8162747610574, -73.90541788644862 40.81770807694894, -73.90520344344212 40.81780226393585, -73.90515227644728 40.81779189675774)))","ADAMS","118","BRONX"
"MULTIPOLYGON (((-73.93632223527649 40.67436081276693, -73.93647448782967 40.6728008622735, -73.93892009521433 40.672930328168675, -73.93877108177604 40.674496100895134, -73.93632223527649 40.67436081276693)))","ALBANY","031","BROOKLYN"
"MULTIPOLYGON (((-73.93632223527649 40.67436081276693, -73.93877108177604 40.674496100895134, -73.93868875983256 40.67536106486128, -73.93623789123046 40.675225664929236, -73.93632223527649 40.67436081276693)))","ALBANY II","085","BROOKLYN"
"MULTIPOLYGON (((-73.98726579143474 40.77363328429592, -73.98688685299028 40.77347377174316, -73.98652618484198 40.773965891853756, -73.98552651909002 40.77354507641091, -73.98680690279566 40.77179803462624, -73.98743930167409 40.77206424358245, -73.98725567679563 40.772314802798505, -73.98788930942965 40.77258152808965, -73.988606360329 40.77288336066943, -73.98878997932407 40.77263280112319, -73.98934272914325 40.77286546789745, -73.98852594439583 40.77398001480435, -73.98768947778295 40.77362965358772, -73.9876483685762 40.773560833660866, -73.98762924319492 40.77353564994719, -73.98761521549591 40.77351962489244, -73.98760400700111 40.77350978479291, -73.98758953284621 40.773499592243965, -73.98757518859108 40.77349155461055, -73.9875574648408 40.7734838182789, -73.98754262606546 40.77347889002433, -73.98752898930492 40.77347544412582, -73.98751806484383 40.77347337358733, -73.98750837688972 40.77347202268364, -73.98749739063376 40.77347102193395, -73.98748337545581 40.77347054944932, -73.98747134894424 40.77347085521376, -73.9874525680047 40.773472658678386, -73.98743369790282 40.77347616948371, -73.98741909435995 40.77348014991379, -73.98740399778411 40.77348555578423, -73.98739018269652 40.77349182177311, -73.98738071027861 40.77349696891103, -73.9873718359642 40.77350253214596, -73.98736394715368 40.77350818914059, -73.98735827716226 40.77351274506315, -73.98734987980585 40.77352041912745, -73.98734438252202 40.773526188946164, -73.98734139440671 40.77353012381542, -73.98726579143474 40.77363328429592)))","AMSTERDAM","022","MANHATTAN"
"MULTIPOLYGON (((-73.98652578354202 40.774731533464724, -73.98685490296083 40.77427742994408, -73.98733025959108 40.774478032357834, -73.98722023643172 40.77462983326012, -73.98745646406266 40.77472951154854, -73.98723736250383 40.775031827661095, -73.98652578354202 40.774731533464724)))","AMSTERDAM ADDITION","187","MANHATTAN"
"MULTIPOLYGON (((-73.93200763393936 40.77414562143563, -73.9327540292275 40.772828381143924, -73.93417362195294 40.773256204181756, -73.93426214473885 40.77308686197186, -73.93373012901837 40.77292732664469, -73.93295270187029 40.77268786533191, -73.9329298443908 40.77268082540263, -73.93292051863614 40.77267624001431, -73.93291046509285 40.77266980096599, -73.93290165388018 40.77266240540523, -73.93289524810446 40.77265530841089, -73.93288891028135 40.77264660495784, -73.93288497318791 40.772638168551374, -73.93288315386118 40.772628689695175, -73.93288308402256 40.77261336398975, -73.93288545986272 40.7726042405743, -73.93289020273068 40.77259473672405, -73.93298331952323 40.77240608055801, -73.93299993989717 40.77237722459119, -73.93302493419938 40.772333544902345, -73.93304306011579 40.7723093246946, -73.9330537151651 40.77229708944423, -73.93307727433181 40.77227290570636, -73.93426266126905 40.77262359839719, -73.93467046697297 40.77184970909197, -73.93663162357754 40.772419953936875, -73.9366781400413 40.7724350980585, -73.93673047854044 40.77245379784355, -73.93678007420029 40.77247452493371, -73.93682999871066 40.772496999158946, -73.93687081931361 40.77251804557998, -73.93691963349934 40.77254355475413, -73.93696847406433 40.77257126835392, -73.93700908504712 40.77259612644098, -73.93705486613736 40.77262631201359, -73.9370949904408 40.77265483935486, -73.93714024610198 40.77268960636668, -73.93718569889903 40.77272765310048, -73.93722927021723 40.77276751780776, -73.93726329894041 40.77280133852849, -73.93729631223937 40.77283677058717, -73.93733086556138 40.7728771076141, -73.93736333777589 40.77291866187982, -73.9373909975691 40.772957466086226, -73.93741375251673 40.7729922819948, -73.9374351397716 40.77302793552434, -73.9374541435702 40.773062577391414, -73.93747463239343 40.77310392971008, -73.93749320619516 40.77314620670302, -73.93750871173114 40.773186373950914, -73.93752586727206 40.77323669256234, -73.93753973373133 40.773280374480926, -73.93755061242781 40.77331692729631, -73.93756188314404 40.77335734348109, -73.93757326301149 40.773401377945234, -73.9375869627524 40.77345997660032, -73.93759614790139 40.77350383067256, -73.93760399092415 40.77354523464857, -73.9376108082648 40.77358526029867, -73.93761649925365 40.77362262525223, -73.93762153056352 40.773659888091395, -73.93762686515645 40.77370596251672, -73.93763097650898 40.77374911324646, -73.93763415090243 40.77379100186389, -73.93763695154638 40.7738424139987, -73.9376384160092 40.7738875398989, -73.93763894493665 40.77392987733504, -73.93697400448656 40.773976824374145, -73.93693852658062 40.77397932907325, -73.93692774239987 40.77396703940883, -73.93691118067844 40.77395036743416, -73.93691002686194 40.773949205153585, -73.93689078122856 40.77393229487397, -73.93687008949628 40.77391642027784, -73.93684803572873 40.77390162103277, -73.93682474658867 40.77388798365529, -73.93681266213554 40.77388161407475, -73.93680029192006 40.77387555320862, -73.93678767146088 40.7738698190865, -73.93650638802139 40.77378441200829, -73.93640344210789 40.77375315370502, -73.93637280692496 40.77374421100621, -73.93581921956734 40.77357917676168, -73.93573887340683 40.77373861647851, -73.9366672010872 40.77402941122093, -73.93669154515446 40.77403859982401, -73.93671419624401 40.774051829850094, -73.93673295434512 40.774068207693915, -73.9367470738181 40.77408708458571, -73.93675599626926 40.77410771370369, -73.9367593706655 40.77412927719961, -73.93675706040476 40.77415092222301, -73.93674929160342 40.77417153227339, -73.936075304857 40.7754591514572, -73.93542502509345 40.77524917612202, -73.93514614555212 40.77515912499821, -73.93468864566832 40.77501139393904, -73.9339157518158 40.77476181382793, -73.93400750477687 40.77459760653598, -73.93329636133953 40.774367960591626, -73.93320460572839 40.77453216724771, -73.93200763393936 40.77414562143563)))","ASTORIA","026","QUEENS"
"MULTIPOLYGON (((-73.96967461024782 40.68279688029929, -73.9695924836984 40.68238300395346, -73.97061816112796 40.6825976666298, -73.97076084857257 40.6833145184754, -73.96980164422246 40.68343705042487, -73.9697957855637 40.68340753003769, -73.96978285971238 40.683342394265864, -73.96972846566952 40.6830682806047, -73.96971500177308 40.68300043053159, -73.96967461024782 40.68279688029929)))","ATLANTIC TERMINAL SITE 4B","256","BROOKLYN"
"MULTIPOLYGON (((-73.7822762187717 40.6846128012749, -73.78294317027274 40.684431505849055, -73.78349557987067 40.6853621974968, -73.78248517145096 40.68570354277821, -73.781280869028 40.68495254716732, -73.7822762187717 40.6846128012749)), ((-73.7844155898675 40.68638373262272, -73.78320995358665 40.684338772885816, -73.78388003003155 40.684111796513605, -73.78431801978661 40.684854702490924, -73.78405648985866 40.684943291992994, -73.78411377210956 40.6850404526438, -73.78414703972673 40.685095097159696, -73.78417238384866 40.68513442342704, -73.78419868738472 40.68517338227603, -73.78422594091086 40.68521196198166, -73.78425413501365 40.68525014721681, -73.78428325908938 40.68528792535369, -73.78431330252911 40.685325284665005, -73.78434425710076 40.685362210726446, -73.78437610865303 40.6853986900026, -73.78440885130695 40.68543471167615, -73.78444246973115 40.68547026130895, -73.78445960312337 40.68548802547214, -73.78447751637066 40.68550533903444, -73.78449619062171 40.68552217854608, -73.78451560463603 40.6855385277581, -73.78453573363262 40.68555436771277, -73.78455655638243 40.685569678558494, -73.78457804927892 40.68558444404148, -73.78459051978565 40.68559003167754, -73.78460358807982 40.68559476674164, -73.78461714900298 40.68559861031428, -73.78463110091029 40.685601534289624, -73.7846453362272 40.68560351505206, -73.78465974498278 40.685604538888654, -73.78467421600922 40.685604595685206, -73.7846886381001 40.685603687935085, -73.78470289886153 40.68560181903047, -73.7848039116539 40.68557927173961, -73.78481579383966 40.68557692019859, -73.78482976725476 40.68557464640893, -73.78484669308467 40.685573554212404, -73.78486116073245 40.68557502298887, -73.78487512466705 40.68557825403303, -73.7848882184466 40.68558316201155, -73.7849000982461 40.685589617508036, -73.78493763753545 40.6856126409363, -73.78535889260014 40.685870993167505, -73.7846623685183 40.68653507980187, -73.7844155898675 40.68638373262272)))","BAISLEY PARK","091","QUEENS"
