"Year","NYCHA Development","Borough","Total number of resident job placements","Average wage of such residents","Total number of resident connections to services","Total number of residents that applied for the NYCHA Resident Training Academy","Total number of residents that were accepted and enrolled","Total number residents placed into full-time or part-time jobs","Average Wage of such residents","Number of residents that enrolled in financial counseling services/workshops through the REES Zone Partner program","Total number of residents enrolled in vocational training programs through the program","Total number of residents enrolled in prep courses for English as a Second Language (ESOL) or the Test Assessing Secondary Completion (TASC) through the program"
"2024","1010 EAST 178TH STREET",,"N/A","N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","UNKOWN",,"38","$40.18","264","24","N/A","N/A","N/A","19","54","N/A"
"2024","SECTION 8*",,"49","$27.82","1320","< 5","< 5","< 5","$17.31","176","160","N/A"
"2024","WYCKOFF GARDENS",,"< 5","$25.00","23","< 5","N/A","N/A","N/A","6","< 5","N/A"
"2024","WSUR (SITE C) 589 AMSTERDAM AVENUE",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","WSUR (SITE B) 74 WEST 92ND STREET",,"< 5","$20.38","< 5","< 5","< 5","N/A","N/A","< 5","< 5","N/A"
"2024","WSUR (SITE A) 120 WEST 94TH STREET",,"< 5","$17.11","5","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","WSUR (BROWNSTONES)",,"< 5","$17.31","5","< 5","< 5","< 5","$17.31","N/A","< 5","N/A"
"2024","WOODSON",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","WOODSIDE",,"10","$30.65","29","10","< 5","< 5","$27.48","< 5","< 5","N/A"
"2024","WISE TOWERS",,"N/A","N/A","19","< 5","N/A","N/A","N/A","< 5","< 5","N/A"
"2024","WILSON",,"< 5","$20.42","11","< 5","< 5","< 5","$20.42","< 5","< 5","N/A"
"2024","WILLIAMSBURG",,"< 5","$38.25","8","< 5","N/A","< 5","$38.25","N/A","< 5","N/A"
"2024","WILLIAMS PLAZA",,"N/A","N/A","6","8","N/A","N/A","N/A","< 5","< 5","N/A"
"2024","WHITMAN",,"12","$21.90","70","28","6","5","$17.31","< 5","11","N/A"
"2024","WHITE",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","WEST TREMONT AVENUE-SEDGWICK AVENUE AREA",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","WEST FARMS SQUARE CONVENTIONAL",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","WEST FARMS ROAD REHAB",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","WEST BRIGHTON II",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","WEST BRIGHTON I",,"8","$30.85","70","< 5","N/A","N/A","N/A","< 5","25","N/A"
