year,nycha_development,borough_x,total_number_of_resident_job_placements,average_wage_of_such_residents,total_number_of_resident_connections_to_services,total_number_of_residents_that_applied_for_the_nycha_resident_training_academy,total_number_of_residents_that_were_accepted_and_enrolled,total_number_residents_placed_into_full-time_or_part-time_jobs,number_of_residents_that_enrolled_in_financial_counseling_services/workshops_through_the_rees_zone_partner_program,total_number_of_residents_enrolled_in_vocational_training_programs_through_the_program,total_number_of_residents_enrolled_in_prep_courses_for_english_as_a_second_language_(esol)_or_the_test_assessing_secondary_completion_(tasc)_through_the_program,service_connections,data_as_of,hud_amp#,tds#,consolidated_tds#,development_edp#,operating_edp#,hud_#,program,method,type,number_of_section_8_transition_apartments,number_of_current_apartments,total_number_of_apartments,number_of_rental_rooms,avg_no_r/r_per_apartment,population_section_8_transition,population_public_housing,total_population,total_#_of_fixed_income_household,percent_fixed_income_households,number_of_residential_bldgs,number_of_non-residential_bldgs,number_of_stairhalls,number_of_stories,total_area_sq_ft,acres,net_dev_area_sq_ft,excluding_park_acres,bldg_coverage_sq_ft,cubage_cu_ft,bldg_coverage_%,density,development_cost,per_rental_room,avg_monthly_gross_rent,location_street_a,location_street_b,location_street_c,location_street_d,borough_y,community_distirct,us_congressional_district,ny_state_senate_district,ny_state_assembly_district,ny_city_council_district,completion_date,federalized_development,senior_development,electricity_paid_by_residents,private_management,rad_transferred_date,borough,services_per_capita
2024.0,1010 EAST 178TH STREET,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005011330,180,180,289,289,NY005090,FEDERAL,CONVENTIONAL,NEW CONST,0.0,218,220.0,918.0,4.21,0,391,391.0,98,0.49,1.0,0.0,1.0,21,"86,504.7",1.99,"88,172",2.02,"14,961","1,841,787",16.97%,197.0,"$5,031,405","$5,341",$513,E TREMONT AVE,BRYANT AVE,E 178TH ST,BOSTON RD,BRONX,6,15,32,87,15,1971-03-31T00:00:00.000,,,,,06/24/2025,,0.0
2024.0,WYCKOFF GARDENS,Unknown,0.0,25.0,23.0,0.0,0.0,0.0,6.0,0.0,0.0,23.0,1/1/2025,NY005011630,163,163,272,272,NY005074,FEDERAL,CONVENTIONAL,NEW CONST,0.0,528,529.0,"2,434.0",4.61,0,988,988.0,233,0.4736,3.0,0.0,3.0,21,"243,632.7",5.59,"253,000",5.81,"31,158","4,724,612",12.32%,177.0,"$10,130,155","$4,149",$712,THIRD AVE,NEVINS ST,WYCKOFF ST,BALTIC ST,BROOKLYN,6,10,26,52,39,1966-12-31T00:00:00.000,,,,,,BROOKLYN,0.02327935222672065
2024.0,WSUR (SITE C) 589 AMSTERDAM AVENUE,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005011270,174,155,259,259,NY005056,FEDERAL,CONVENTIONAL,NEW CONST,0.0,157,158.0,686.5,4.37,0,287,287.0,71,0.5,1.0,0.0,1.0,18,"25,376.0",0.58,"25,131",0.58,"7,891","1,363,220",31.40%,493.0,,,$621,589 AMSTERDAM AVE,W 88TH ST,W 89TH ST,,MANHATTAN,7,12,47,69,06,1965-09-30T00:00:00.000,,,,,,MANHATTAN,0.0
2024.0,WSUR (SITE B) 74 WEST 92ND STREET,Unknown,0.0,20.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005011270,173,155,259,259,NY005056,FEDERAL,CONVENTIONAL,NEW CONST,0.0,167,168.0,731.5,4.38,0,280,280.0,65,0.4422,1.0,0.0,1.0,22,"25,709.8",0.59,"25,176",0.58,"13,176","1,575,535",52.34%,474.0,"$7,228,361","$4,167",$653,74 W 92ND ST,COLUMBUS AVE,,,MANHATTAN,7,12,47,69,06,1965-09-30T00:00:00.000,,,,,,MANHATTAN,0.0
2024.0,WSUR (SITE A) 120 WEST 94TH STREET,Unknown,0.0,17.11,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1/1/2025,NY005011270,151,155,259,259,NY005056,FEDERAL,CONVENTIONAL,NEW CONST,0.0,68,70.0,298.0,4.38,0,139,139.0,30,0.4412,1.0,0.0,1.0,9,"22,918.1",0.53,"22,763",0.52,"6,811","613,400",29.92%,264.0,,,$788,120 W 94TH ST,AMSTERDAM AVE,,,MANHATTAN,7,12,47,69,07,1965-09-30T00:00:00.000,,,,,,MANHATTAN,0.03597122302158273
2024.0,WSUR (BROWNSTONES),Unknown,0.0,17.31,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1/1/2025,NY005011270,178,155,279,259,NY005052K,FEDERAL,CONVENTIONAL,REHAB,0.0,235,236.0,781.5,3.33,0,285,285.0,110,0.5528,36.0,0.0,36.0,3–4–6,"69,464.9",1.59,"67,637",1.55,"41,422","2,308,080",61.24%,179.0,"$4,190,975","$4,936",$609,W 89TH & 90TH STS,91ST & 93RD STS,COLUMBUS AVE,CENTRAL PARK WEST,MANHATTAN,7,12,47,69,"06, 07",1968-06-30T00:00:00.000,,,,,,MANHATTAN,0.017543859649122806
2024.0,WOODSON,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2025,NY005011680,182,182,285,257,NY005084,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0.0,405,407.0,"1,412.5",3.49,0,450,450.0,342,0.8814,2.0,0.0,2.0,10–25,"144,232.3",3.31,"100,000",2.3,"24,456","2,792,393",17.47%,136.0,"$8,225,987","$5,785",$382,BLAKE AVE,LIVONIA AVE,POWELL ST,JUNIUS ST,BROOKLYN,16,08,25,55,42,1970-08-31T00:00:00.000,,EXCLUSIVELY,,,,BROOKLYN,0.0
2024.0,WOODSIDE,Unknown,10.0,30.65,29.0,10.0,0.0,0.0,0.0,0.0,0.0,29.0,1/1/2025,NY005000330,033,033,316,316,NY005114D,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,353",1357.0,"6,312.5",4.67,0,"2,648",2648.0,621,0.4733,20.0,0.0,55.0,6,"960,192.4",22.04,"971,398",22.3,"186,009","10,715,226",19.15%,120.0,"$13,777,000","$2,251",$661,49TH ST,51ST ST,31ST AVE,NEWTOWN RD,QUEENS,1,07,12,34,26,1949-12-30T00:00:00.000,1968/08/29-FED TRAN,,,,,QUEENS,0.01095166163141994
2024.0,WISE TOWERS,Unknown,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1/1/2025,NY005021270,127,127,445,445,NY005386,MIXED FINANCE/LLC2,CONVENTIONAL,NEW CONST,115.0,389,399.0,"1,707.5",4.39,248,488,736.0,173,0.0045,2.0,1.0,4.0,19,"103,289.2",2.37,"100,247",2.3,"34,702","3,685,586",34.62%,310.0,"$7,774,000","$4,441",$591,W 90TH ST,W 91ST ST,COLUMBUS AVE,AMSTERDAM AVE,MANHATTAN,7,12,47,69,06,1965-01-31T00:00:00.000,,,,,11/30/2020,,0.025815217391304348
2024.0,WILSON,Unknown,0.0,20.42,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1/1/2025,NY005010090,112,112,539,539,NY005220J,FEDERAL,CONVENTIONAL,NEW CONST,0.0,398,398.0,"2,225.0",5.59,0,"1,075",1075.0,135,0.3534,3.0,0.0,3.0,20,"135,834.4",3.12,"133,188",3.06,"22,499","3,961,200",16.89%,345.0,"$7,162,000","$3,219",$786,FDR DRIVE,E 105TH ST,FIRST AVE,E 106TH ST,MANHATTAN,11,13,29,68,08,1961-06-30T00:00:00.000,1978/07/01-ATP 3,,,,,MANHATTAN,0.010232558139534883
2024.0,WILLIAMSBURG,Unknown,0.0,38.25,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1/1/2025,NY005000020,002,002,200,200,NY005041,FEDERAL,CONVENTIONAL,NEW CONST,,"1,601",1621.0,"6,292.0",4.02,0,"2,895",2895.0,765,0.0049,20.0,1.0,136.0,4,"1,059,130.9",24.31,"927,103",21.28,"326,716","14,056,383",32.13%,119.0,"$13,063,992","$2,266",$518,LEONARD ST,BUSHWICK AVE,MAUJER ST,SCHOLES ST,BROOKLYN,1,07,18,53,34,1938-04-10T00:00:00.000,,,,,12/28/2021,,0.002763385146804836
2024.0,WILLIAMS PLAZA,Unknown,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,1/1/2025,NY005021280,128,128,443,443,NY005385,MIXED FINANCE/LLC2,CONVENTIONAL,NEW CONST,77.0,577,577.0,"2,624.5",4.6,197,,1341.0,,,5.0,0.0,5.0,14-21,"245,484.2",5.64,"242,859",5.58,"39,895","5,239,694",16.43%,238.0,"$11,631,000","$4,390",$442,ROEBLING ST,BROADWAY,DIVISION AVE,MARCY AVE,BROOKLYN,1,07,18,50,34,1964-04-30T00:00:00.000,,,,,02/12/2020,,0.0044742729306487695
